group,user,kc,competency
4fe25833f555e9903d2bb6bbeec3fbfb,9ebecebccf7f8b60313c913a80f70f47,CO.6,0.6686300058268009
4fe25833f555e9903d2bb6bbeec3fbfb,9ebecebccf7f8b60313c913a80f70f47,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,9f5b213ac14a39e0506ff211a2ff2ffc,GMD.4,0.6366275955404235
4fe25833f555e9903d2bb6bbeec3fbfb,9f5b213ac14a39e0506ff211a2ff2ffc,CO.5,0.6472226703298979
4fe25833f555e9903d2bb6bbeec3fbfb,9f5b213ac14a39e0506ff211a2ff2ffc,CO.6,0.6435652324141611
4fe25833f555e9903d2bb6bbeec3fbfb,9f5b213ac14a39e0506ff211a2ff2ffc,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,a48c50f9ef3ef60c304e7e4ca5d775cb,GMD.4,0.5561763088556962
4fe25833f555e9903d2bb6bbeec3fbfb,a48c50f9ef3ef60c304e7e4ca5d775cb,CO.5,0.552792605346179
4fe25833f555e9903d2bb6bbeec3fbfb,a48c50f9ef3ef60c304e7e4ca5d775cb,CO.6,0.5463460053565614
4fe25833f555e9903d2bb6bbeec3fbfb,a48c50f9ef3ef60c304e7e4ca5d775cb,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,a7d70a79fa9f7d3dec47bac5541e53be,GMD.4,0.15950333539286207
4fe25833f555e9903d2bb6bbeec3fbfb,a7d70a79fa9f7d3dec47bac5541e53be,CO.5,0.08719589204350203
4fe25833f555e9903d2bb6bbeec3fbfb,a7d70a79fa9f7d3dec47bac5541e53be,CO.6,0.06699705440911244
4fe25833f555e9903d2bb6bbeec3fbfb,a7d70a79fa9f7d3dec47bac5541e53be,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,a89dc0a90ec4abfdc92e621e3ca80748,GMD.4,0.49114161423152736
4fe25833f555e9903d2bb6bbeec3fbfb,a89dc0a90ec4abfdc92e621e3ca80748,CO.5,0.4615518718313811
4fe25833f555e9903d2bb6bbeec3fbfb,a89dc0a90ec4abfdc92e621e3ca80748,CO.6,0.4677565507457752
4fe25833f555e9903d2bb6bbeec3fbfb,a89dc0a90ec4abfdc92e621e3ca80748,MG.1,0.4115185625286089
4fe25833f555e9903d2bb6bbeec3fbfb,afa648f0959b8ff1a10ddb9c643aa172,GMD.4,0.6572882888595909
4fe25833f555e9903d2bb6bbeec3fbfb,afa648f0959b8ff1a10ddb9c643aa172,CO.5,0.6005236126609286
4fe25833f555e9903d2bb6bbeec3fbfb,afa648f0959b8ff1a10ddb9c643aa172,CO.6,0.66853210016402
4fe25833f555e9903d2bb6bbeec3fbfb,afa648f0959b8ff1a10ddb9c643aa172,MG.1,0.6256627426627307
4fe25833f555e9903d2bb6bbeec3fbfb,b2531b7f78817a6d4acda4a109b7a431,GMD.4,0.6781076120825538
4fe25833f555e9903d2bb6bbeec3fbfb,b2531b7f78817a6d4acda4a109b7a431,CO.5,0.6959100290908445
4fe25833f555e9903d2bb6bbeec3fbfb,b2531b7f78817a6d4acda4a109b7a431,CO.6,0.6936906600206273
4fe25833f555e9903d2bb6bbeec3fbfb,b2531b7f78817a6d4acda4a109b7a431,MG.1,0.4729493447928774
4fe25833f555e9903d2bb6bbeec3fbfb,bee2a34ccb9b04e94c012b32c0228791,GMD.4,0.527110819478283
