user,kc,competency
0157bc278747755031338f18c5ba4233,GMD.4,0.4456841690599723
0157bc278747755031338f18c5ba4233,CO.5,0.4456841690599723
0157bc278747755031338f18c5ba4233,CO.6,0.4456841690599723
0157bc278747755031338f18c5ba4233,MG.1,0
0760db831ec82e0c4b3349f6045d9669,GMD.4,0.21270507292239987
0760db831ec82e0c4b3349f6045d9669,CO.5,0.21270507292239987
0760db831ec82e0c4b3349f6045d9669,CO.6,0.21270507292239987
0760db831ec82e0c4b3349f6045d9669,MG.1,0
0b608ca6b3e7c2e5f31d7118cdc95a9b,GMD.4,0.0035982675922394958
0b608ca6b3e7c2e5f31d7118cdc95a9b,CO.5,0.0035982675922394958
0b608ca6b3e7c2e5f31d7118cdc95a9b,CO.6,0.0035982675922394958
0b608ca6b3e7c2e5f31d7118cdc95a9b,MG.1,0
12c016759e353d0bc14d1bccacba192c,GMD.4,0.24280777927238095
12c016759e353d0bc14d1bccacba192c,CO.5,0.24280777927238095
12c016759e353d0bc14d1bccacba192c,CO.6,0.24280777927238095
12c016759e353d0bc14d1bccacba192c,MG.1,0
12e1e72e84bf81d1bb70ceaaff147ee1,GMD.4,0.3389253839016001
12e1e72e84bf81d1bb70ceaaff147ee1,CO.5,0.3389253839016001
12e1e72e84bf81d1bb70ceaaff147ee1,CO.6,0.3389253839016001
12e1e72e84bf81d1bb70ceaaff147ee1,MG.1,0
1f29e9843acc97006c607d1d50465a1d,GMD.4,0.15979277249102156
1f29e9843acc97006c607d1d50465a1d,CO.5,0.15979277249102156
1f29e9843acc97006c607d1d50465a1d,CO.6,0.15979277249102156
1f29e9843acc97006c607d1d50465a1d,MG.1,0
2085341eede3ffb7e2ffc72bbf0ae02b,GMD.4,0.4442093390771789
2085341eede3ffb7e2ffc72bbf0ae02b,CO.5,0.44681073304654495
2085341eede3ffb7e2ffc72bbf0ae02b,CO.6,0.4442093390771789
2085341eede3ffb7e2ffc72bbf0ae02b,MG.1,0.20670061215786636
24484165b531c64c3151df9e29945731,GMD.4,0.0623432141591281
24484165b531c64c3151df9e29945731,CO.5,0.0623432141591281
24484165b531c64c3151df9e29945731,CO.6,0.0623432141591281
24484165b531c64c3151df9e29945731,MG.1,0
2a772f5859b0bf6156f07f1412f2043a,GMD.4,-0.0536971387642968
2a772f5859b0bf6156f07f1412f2043a,CO.5,-0.0536971387642968
2a772f5859b0bf6156f07f1412f2043a,CO.6,-0.0536971387642968
2a772f5859b0bf6156f07f1412f2043a,MG.1,0
2b2396af4cbf91224f099e909c6068f7,GMD.4,0.12498461909607854
2b2396af4cbf91224f099e909c6068f7,CO.5,0.12498461909607854
2b2396af4cbf91224f099e909c6068f7,CO.6,0.12498461909607854
2b2396af4cbf91224f099e909c6068f7,MG.1,-0.1587520051545555
2d3db94690a19a62a0942fbd6ac30308,GMD.4,-0.1793706549812933
2d3db94690a19a62a0942fbd6ac30308,CO.5,-0.1793706549812933
2d3db94690a19a62a0942fbd6ac30308,CO.6,-0.1793706549812933
2d3db94690a19a62a0942fbd6ac30308,MG.1,0
302f89f8db8438ebfaf8ab4fd1d267f2,GMD.4,-0.032683235215203055
302f89f8db8438ebfaf8ab4fd1d267f2,CO.5,-0.032683235215203055
302f89f8db8438ebfaf8ab4fd1d267f2,CO.6,-0.032683235215203055
302f89f8db8438ebfaf8ab4fd1d267f2,MG.1,0
33619c0e26fd218fbe79c78b631b7843,GMD.4,0.0758966187421303
33619c0e26fd218fbe79c78b631b7843,CO.5,0.0758966187421303
33619c0e26fd218fbe79c78b631b7843,CO.6,0.0758966187421303
33619c0e26fd218fbe79c78b631b7843,MG.1,0
3ea797888d868011497d6e0e56206f3b,GMD.4,-0.10052596616287246
3ea797888d868011497d6e0e56206f3b,CO.5,-0.10052596616287246
3ea797888d868011497d6e0e56206f3b,CO.6,-0.10052596616287246
